word_id,word,pos,cefr,theme,frequency_rank
word_0622_B1,condition,noun,B1,General,622
word_0623_A2,meeting,noun,A2,General,623
word_0624_B1,toward,preposition,B1,General,624
word_0625_A2,gave,verb,A2,General,625
word_0626_A2,library,noun,A2,General,626
word_0627_B1,enough,adverb,B1,General,627
word_0628_B1,third,adjective,B1,General,628
word_0629_A2,near,preposition,A2,General,629
word_0630_A2,began,verb,A2,General,630
word_0631_B1,up,adverb,B1,General,631
word_0632_B1,books,noun,B1,General,632
word_0633_B1,attention,noun,B1,General,633
word_0634_B1,says,verb,B1,General,634
word_0635_B1,questions,noun,B1,General,635
word_0636_B1,follows,verb,B1,General,636
word_0637_A2,letter,noun,A2,General,637
word_0638_B2,employment,noun,B2,General,638
word_0639_A2,below,preposition,A2,General,639
word_0640_B1,developed,verb,B1,General,640
word_0641_B1,normal,adjective,B1,General,641
word_0642_B1,chairman,noun,B1,General,642
word_0643_A2,looked,verb,A2,General,643
word_0644_A2,heart,noun,A2,General,644
word_0645_B1,continued,verb,B1,General,645
word_0646_A2,subject,noun,A2,General,646
word_0647_B1,across,preposition,B1,General,647
word_0648_A2,lord,noun,A2,General,648
word_0649_A2,felt,verb,A2,General,649
word_0650_B2,volume,noun,B2,General,650
word_0651_A2,english,noun,A2,General,651
word_0652_A2,code,noun,A2,General,652
word_0653_B1,laws,noun,B1,General,653
word_0654_B1,patients,noun,B1,General,654
word_0655_A2,co,noun,A2,General,655
word_0656_A2,knew,verb,A2,General,656
word_0657_C1,saw,verb,C1,General,657
word_0658_A2,de,noun,A2,General,658
word_0659_A2,strong,adjective,A2,General,659
word_0660_A2,fire,noun,A2,General,660
word_0661_B1,product,noun,B1,General,661
word_0662_B2,region,noun,B2,General,662
word_0663_B1,purposes,noun,B1,General,663
word_0664_A2,today,noun,A2,General,664
word_0665_B1,staff,noun,B1,General,665
word_0666_B1,presented,verb,B1,General,666
word_0667_B1,one,pronoun,B1,General,667
word_0668_B1,significant,adjective,B1,General,668
word_0669_B2,financial,adjective,B2,General,669
word_0670_C1,need,noun,C1,General,670
word_0671_B1,solution,noun,B1,General,671
